level,n_done,n_error,error_rate,drain_sec,throughput_per_s,lat_p50,lat_p90,lat_p99,lat_min,lat_max,lat_mean
50,50,0,0.0,131.78,0.38,30.701,103.832,131.17,1.25,131.76,47.06
100,100,0,0.0,129.47,0.77,50.446,98.673,128.919,10.3,129.45,60.53
200,200,0,0.0,255.89,0.78,126.79,220.71,249.485,11.37,255.87,129.12
