level,n_done,n_error,error_rate,drain_sec,throughput_per_s,lat_p50,lat_p90,lat_p99,lat_min,lat_max,lat_mean
50,44,6,0.12,68.72,0.64,51.712,62.972,66.424,6.05,68.72,50.99
50,50,0,0.0,25.88,1.93,9.635,12.569,22.804,1.51,25.88,9.0
50,50,0,0.0,301.61,0.17,13.547,16.711,295.95,1.75,301.6,23.87
