level,n_done,n_error,error_rate,drain_sec,throughput_per_s,lat_p50,lat_p90,lat_p99,lat_min,lat_max,lat_mean
50,50,0,0.0,42.81,1.17,13.974,27.504,36.061,1.56,42.8,12.56
100,100,0,0.0,29.96,3.34,18.248,25.194,28.088,1.53,29.95,17.34
200,200,0,0.0,82.59,2.42,25.23,44.197,50.105,1.87,82.57,24.66
50,50,0,0.0,30.43,1.64,7.816,28.54,29.705,1.71,30.42,12.64
50,50,0,0.0,41.83,1.2,6.101,10.29,39.05,1.21,41.82,6.74
