level,n_done,n_error,error_rate,drain_sec,throughput_per_s,lat_p50,lat_p90,lat_p99,lat_min,lat_max,lat_mean
50,50,0,0.0,62.14,0.8,40.282,53.248,59.731,1.67,62.13,33.0
100,100,0,0.0,73.08,1.37,23.218,53.45,58.175,1.39,73.06,25.1
200,200,0,0.0,96.81,2.07,52.572,89.78,96.416,1.61,96.78,55.45
