level,n_done,n_error,error_rate,drain_sec,throughput_per_s,lat_p50,lat_p90,lat_p99,lat_min,lat_max,lat_mean
50,46,4,0.08,43.76,1.05,6.397,8.413,28.107,2.23,43.76,6.76
100,100,0,0.0,31.52,3.17,14.279,27.12,29.453,2.01,31.49,15.57
200,200,0,0.0,71.15,2.81,27.627,44.47,54.41,2.37,71.12,26.21
